cnote,dispatch_time,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability
8000704933,2019-04-16 21:45:00.0,RETAIL,16.0,BOMT1,841418,808647,BP1501,ODA_2_2
2000812837,2019-05-06 09:12:00.0,RETAIL,95.0,CJBT1,454449,820875,BP1147,ODA_4_7
2000812835,2019-05-06 09:12:00.0,RETAIL,90.0,CJBT1,454001,820875,BP1147,ODA_1_1
1003165270,2019-05-06 09:12:00.0,Marc laboratories Ltd    ,35.0,LKOT1,454001,820875,BP1147,ODA_1_1
1003327200,2019-05-06 09:12:00.0,Godrej& Boyce,1.0,BOMT1,454773,820875,BP1147,ODA_1_1
8000673460,2019-04-27 11:17:00.0,RETAIL,15.0,JAIT1,734301,824731,BP1532,ODA_3_5
2000145302,2019-04-27 15:50:00.0,RETAIL,195.0,AMBT1,632602,825449,BP1154,ODA_1_1
1003300322,2019-04-27 17:04:00.0,Xseed Education,19.0,BLRT1,518134,825643,BP1273,ODA_3_5
8000769374,2019-05-02 06:40:00.0,White Field Impex,21.0,BOMT1,421503,826049,BP1487,ODA_1_1
8000779274,2019-05-02 06:40:00.0,Aimil India Ltd.,20.0,DELT1,421503,826049,BP1487,ODA_1_1
1003046533,2019-05-02 06:40:00.0, Orient Electric Ltd (Lighting),15.0,NAGT1,421503,826049,BP1487,ODA_1_1
1002388590,2019-04-29 11:19:00.0,Lamberti Hydrocolloids  Pvt Ltd.,800.0,AMDT1,184121,827096,BP1198,ODA_1_1
1003306545,2019-04-29 12:18:00.0,Mohan Clothing Company pvt ltd,15.0,JAIT1,334001,827328,BP1226,ODA_1_1
1003299415,2019-05-02 17:02:00.0,Schwing Stetter India Private Limtied,20.0,MAAT1,670141,828051,BP1206,ODA_4_5
1003011363,2019-04-29 21:13:00.0,KWE - Sharp,118.0,MAAT2,335701,828110,BP1226,ODA_5_5
1003300334,2019-04-29 21:13:00.0,Xseed Education,229.0,BLRT1,335001,828110,BP1226,ODA_6_5
1003372664,2019-04-29 21:13:00.0,ITC LTD-KOLKATA,3.0,DELT1,335804,828110,BP1226,ODA_5_5
